access,area,bridge,distance,from,hgv,highway,junction,lanes,maxspeed,name,oneway,ref,service,to,tunnel
private,,,467.779115,80241220,,service,,,,,,,,80241217,
,,,297.107631,80241323,,residential,,,,South Venita Avenue,no,,,80237143,
,,,297.107631,80237143,,residential,,,,South Venita Avenue,no,,,80241323,
,,,115.469598,80241887,,residential,,,,East 70th Street,no,,,80241889,
,,,115.469598,80241889,,residential,,,,East 70th Street,no,,,80241887,
,,,104.069718,80241889,,residential,,,,East 70th Street,no,,,1903048711,
,,,104.069718,1903048711,,residential,,,,East 70th Street,no,,,80241889,
,,,88.483316,1903048711,,residential,,,,East 70th Street,no,,,1903050276,
,,,88.483316,1903050276,,residential,,,,East 70th Street,no,,,1903048711,
,,,82.694193,1903050276,,residential,,,,East 70th Street,no,,,1903044299,
,,,82.694193,1903044299,,residential,,,,East 70th Street,no,,,1903050276,
,,,82.25748,1903044299,,residential,,,,East 70th Street,no,,,1903044300,
,,,82.25748,1903044300,,residential,,,,East 70th Street,no,,,1903044299,
,,,75.215267,80233173,,service,,,,,no,,driveway,80233169,
,,,75.215267,80233169,,service,,,,,no,,driveway,80233173,
,,,296.606712,80245572,,service,,,,,no,,driveway,80815205,
,,,296.606712,80815205,,service,,,,,no,,driveway,80245572,
,,,29.933262,80287836,,service,,,,,,,,4804279196,
,,,29.933262,4804279196,,service,,,,,,,,80287836,
,,,82.295224,4804279196,,service,,,,,,,,80245698,
,,,82.295224,80245698,,service,,,,,,,,4804279196,
private,,,170.845132,80245736,,service,,,,,,,,80245738,
private,,,170.845132,80245738,,service,,,,,,,,80245736,
,,,44.567686,80245739,,residential,,,,,,,,3095074922,
,,,44.567686,3095074922,,residential,,,,,,,,80245739,
,,,61.867991,3095074922,,residential,,,,,,,,3095074916,
,,,61.867991,3095074916,,residential,,,,,,,,3095074922,
,,,75.472763,3095074916,,residential,,,,,,,,80245744,
,,,75.472763,80245744,,residential,,,,,,,,3095074916,
,,,362.4101,80245983,,service,,,,,,,alley,2461285538,
,,,362.4101,2461285538,,service,,,,,,,alley,80245983,
,,,150.705201,80246009,,service,,,,,no,,driveway,80246054,
,,,150.705201,80246054,,service,,,,,no,,driveway,80246009,
,,,67.469543,80769513,,service,,,,,,,driveway,80238928,
,,,67.469543,80238928,,service,,,,,,,driveway,80769513,
,,,22.860694,80246103,,service,,,,,,,driveway,5074675526,
,,,22.860694,5074675526,,service,,,,,,,driveway,80246103,
,,,21.044845,5074675526,,service,,,,,,,driveway,5074675522,
,,,21.044845,5074675522,,service,,,,,,,driveway,5074675526,
,,,49.180275,5074675522,,service,,,,,,,driveway,80246107,
,,,49.180275,80246107,,service,,,,,,,driveway,5074675522,
,,,9.29135,80246107,,service,,,,,,,driveway,5074675517,
,,,9.29135,5074675517,,service,,,,,,,driveway,80246107,
,,,31.690165,5074675517,,service,,,,,,,driveway,80246114,
,,,31.690165,80246114,,service,,,,,,,driveway,5074675517,
,,,15.239081,80246114,,service,,,,,,,driveway,5074675513,
,,,15.239081,5074675513,,service,,,,,,,driveway,80246114,
,,,32.923541,5074675513,,service,,,,,,,driveway,80246118,
,,,32.923541,80246118,,service,,,,,,,driveway,5074675513,
,,,92.875791,80246131,,residential,,,,South Quail Run Avenue,,,,80214774,
